"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"VNET","21Vianet Group, Inc.","10.46","352069719.58","33658673","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"SSRX","3SBio Inc.","11.55","227219119.05","19672651","2007","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ssrx",
"JOBS","51job, Inc.","43.86","474258136.14","10812999","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"ACTS","Actions Semiconductor Co., Ltd.","1.66","69942189.34","42133849","2005","Technology","Semiconductors","http://www.nasdaq.com/symbol/acts",
"AMCN","AirMedia Group Inc","1.5603","66590481.8397","42677999","1995","Technology","Advertising","http://www.nasdaq.com/symbol/amcn",
"AIXG","Aixtron SE","14.9","143737007.1","9646779","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aixg",
"APSA","Alto Palermo S.A.","13.93","27455291.71","1970947","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/apsa",
"AMRN","Amarin Corporation PLC","14.67","2037412040.31","138882893","1995","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amrn",
"AMOV","America Movil, S.A.B. de C.V.","25.8524","313092366.9384","12110766","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/amov",
"ARMH","ARM Holdings, plc","26.18","3285971442.6","125514570","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/armh",
"ASML","ASML Holding N.V.","56.9","7314561743.7","128551173","1995","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/asml",
"ATAI","ATA Inc.","4.38","52050312.54","11883633","2008","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/atai",
"AMAP","AutoNavi Holdings Limited","12.57","298897567.65","23778645","2010","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/amap",
"BIDU","Baidu, Inc.","113.02","30989822923.8","274197690","2005","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/bidu",
"BCDS","BCD Semiconductor Manufacturing Limited","3.98","51114507.18","12842841","2011","Technology","Semiconductors","http://www.nasdaq.com/symbol/bcds",
"BLRX","BioLineRx Ltd.","2.26","13047237.64","5773114","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/blrx",
"BONA","Bona Film Group Limited","5.25","98141095.5","18693542","2010","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/bona",
"CYOU","Changyou.com Limited","25.04","266047496","10624900","2009","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cyou",
"CHRM","Charm Communications Inc.","4.03","43574375","10812500","2010","Technology","Advertising","http://www.nasdaq.com/symbol/chrm",
"JRJC","China Finance Online Co. Limited","1.16","23799199.16","20516551","2004","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/jrjc",
"HTHT","China Lodging Group, Limited","14.53","338138992.46","23271782","2010","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/htht",
"NKBP","China Nuokang Bio-Pharmaceutical Inc.","4.7","22727766.5","4835695","2009","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/nkbp",
"CSUN","China Sunergy Co., Ltd.","1.32","15116398.44","11451817","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/csun",
"CNTF","China TechFaith Wireless Communication Technology Limited","1.085","35695776.305","32899333","2005","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/cntf",
"CCIH","ChinaCache International Holdings Ltd.","4.75","68066507.25","14329791","2010","Technology","EDP Services","http://www.nasdaq.com/symbol/ccih",
"CEDU","ChinaEdu Corporation","5.85","95978019.15","16406499","2007","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/cedu",
"CTEL","City Telecom (H.K.) Limited","5.4283","51114902.9842","9416374","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ctel",
"CISG","CNinsure Inc.","6.01","211204261.4","35142140","2007","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/cisg",
"CRESY","Cresud S.A.C.I.F. y A.","8.0998","377236561.787","46573565","1997","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/cresy",
"CSRE","CSR plc","21.0863","29849260.2088","1415576","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/csre",
"CTRP","Ctrip.com International, Ltd.","17.45","2576005994","147622120","2003","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ctrp",
"EDAP","EDAP TMS S.A.","1.79","33264377.29","18583451","1997","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/edap",
"EVAC","Edwards Group Limited","6.75","84375000","12500000","n/a","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/evac",
"LONG","eLong, Inc.","15.91","183594065.49","11539539","1987","Consumer Services","Transportation Services","http://www.nasdaq.com/symbol/long",
"ERIC","Ericsson","9.19","1918577386.98","208767942","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/eric",
"FLML","Flamel Technologies S.A.","4.65","111801298.5","24043290","1996","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/flml",
"FMCN","Focus Media Holding Limited","24.3615","2844789362.493","116773982","2005","Technology","Advertising","http://www.nasdaq.com/symbol/fmcn",
"FORTY","Formula Systems (1985) Ltd.","14.46","10923705.78","755443","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/forty",
"GENE","Genetic Technologies Ltd","3.449","10938989.809","3171641","1980","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/gene",
"GENT","Gentium SpA","10","100474820","10047482","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gent",
"GRVY","GRAVITY Co., Ltd.","1.31","17155356.52","13095692","2005","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/grvy",
"GRFS","Grifols, S.A.","20.95","1945038978.2","92841956","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/grfs",
"OMAB","Grupo Aeroportuario del Centro Norte S.A.B. de C.V.","17.04","140216110.8","8228645","2006","Transportation","Aerospace","http://www.nasdaq.com/symbol/omab",
"GGAL","Grupo Financiero Galicia S.A.","5.02","142767178.54","28439677","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/ggal",
"HSOL","Hanwha SolarOne Co., Ltd.","0.98","45711030.82","46643909","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/hsol",
"HIMX","Himax Technologies, Inc.","1.78","150944498.4","84800280","2006","Technology","Semiconductors","http://www.nasdaq.com/symbol/himx",
"HSFT","HiSoft Technology International Limited","11.44","289583316.88","25313227","2010","Technology","EDP Services","http://www.nasdaq.com/symbol/hsft",
"HMIN","Home Inns & Hotels Management Inc.","24.39","833739564.96","34183664","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/hmin",
"ICLR","ICON plc","24.1","1443442676.7","59893887","1998","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/iclr",
"INFY","Infosys Limited","45.7392","3538536457.6224","77363322","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/infy",
"IIJI","Internet Initiative Japan, Inc.","12.2302","35849162.24","2931200","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/iiji",
"JASO","JA Solar Holdings, Co., Ltd.","0.8081","108060117.882","133721220","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/jaso",
"DATE","Jiayuan.com International Ltd.","4.891","54495619.82","11142020","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/date",
"KONE","Kingtone Wirelessinfo Solution Holding Ltd","0.25","1785937.5","7143750","2010","Technology","EDP Services","http://www.nasdaq.com/symbol/kone",
"KONG","KongZhong Corporation","6.7","176231218.9","26303167","2004","Technology","Telecommunications Equipment","http://www.nasdaq.com/symbol/kong",
"KUTV","Ku6 Media Co., Ltd.","1.0999","16341456.278","14857220","n/a","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/kutv",
"GAGA","Le Gaga Holdings Limited","3.8","55024148.2","14480039","2010","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/gaga",
"LTON","Linktone Ltd.","2.8","66883096","23886820","2004","Technology","Telecommunications Equipment","http://www.nasdaq.com/symbol/lton",
"MKTAY","Makita Corp.","35.49","35228900.07","992643","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/mktay",
"MCOX","Mecox Lane Limited","0.644","13470365.104","20916716","2010","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/mcox",
"MPEL","Melco Crown Entertainment Limited","12.36","2261464160.16","182966356","2006","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/mpel",
"NETC","NET Servicos de Comunicacao S.A.","12.94","13505361.54","1043691","1994","Consumer Services","Television Services","http://www.nasdaq.com/symbol/netc",
"NTES","NetEase, Inc.","50.11","3776972799.74","75373634","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ntes",
"NICE","NICE-Systems Limited","31.87","1288920704.64","40443072","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/nice",
"NINE","Ninetowns Internet Technology Group Company Limited","1.0501","32530317.0304","30978304","1995","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/nine",
"NVGN","Novogen Limited","2.02","3872717.74","1917187","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/nvgn",
"OIIM","O2Micro International Limited","3.7","122875120.4","33209492","2000","Technology","Semiconductors","http://www.nasdaq.com/symbol/oiim",
"PTNR","Partner Communications Company Ltd.","4.63","52643382.43","11370061","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ptnr",
"PWRD","Perfect World Co., Ltd.","11.13","469107740.85","42148045","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/pwrd",
"PRAN","Prana Biotechnology Ltd","1.73","28155884.94","16275078","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/pran",
"GOLD","Randgold Resources Limited","113.05","5963570414.9","52751618","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/gold",
"RDA","RDA Microelectronics, Inc.","9.62","139268489.88","14476974","1990","Technology","Semiconductors","http://www.nasdaq.com/symbol/rda",
"REDF","Rediff.com India Limited","2.99","27794908.44","9295956","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/redf",
"RYAAY","Ryanair Holdings plc","31.67","3747696686.2","118335860","1997","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/ryaay",
"GAME","Shanda Games Limited","3.81","289054153.92","75867232","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/game",
"SHPG","Shire plc","93.22","4602395662.26","49371333","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/shpg",
"SIFY","Sify Technologies Limited","2.24","56179372.48","25080077","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/sify",
"SIMO","Silicon Motion Technology Corporation","14.7","473657931.6","32221628","2005","Technology","Semiconductors","http://www.nasdaq.com/symbol/simo",
"SPIL","Siliconware Precision Industries Company, Ltd.","5.7","462881245.2","81207236","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/spil",
"MOBI","Sky-mobi Limited","1.93","19010500","9850000","1998","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/mobi",
"SPRD","Spreadtrum Communications, Inc.","21.78","897543846.54","41209543","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/sprd",
"NCTY","The9 Limited","4.67","88597045.1","18971530","2004","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ncty",
"TRMD","TORM A/S","0.5213","1781791.4101","3417977","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/trmd",
"TRIB","Trinity Biotech plc","12.4","265488699.6","21410379","1992","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/trib",
"VIMC","Vimicro International Corporation","0.8421","19519636.3173","23179713","2005","Technology","Semiconductors","http://www.nasdaq.com/symbol/vimc",
"VISN","VisionChina Media, Inc.","0.3","19137109.5","63790365","1993","Technology","Advertising","http://www.nasdaq.com/symbol/visn",
"VOD","Vodafone Group Plc","28.29","25945969529.1","917142790","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/vod",
"WACLY","Wacoal Holdings Corporation","54.74","78633845.78","1436497","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/wacly",
"WPPGY","WPP plc","67.09","675200401.91","10064099","n/a","Technology","Advertising","http://www.nasdaq.com/symbol/wppgy",
